,Año,Trimestre,Provincia,Mbps_(Media_De_Bajada),Fecha
341,2020,3,Córdoba,33.51,2020-07-01
342,2020,3,Corrientes,23.85,2020-07-01
343,2020,3,Entre Ríos,22.43,2020-07-01
344,2020,3,Formosa,18.28,2020-07-01
345,2020,3,Jujuy,21.91,2020-07-01
346,2020,3,La Pampa,10.7,2020-07-01
347,2020,3,La Rioja,12.19,2020-07-01
348,2020,3,Mendoza,10.19,2020-07-01
349,2020,3,Misiones,24.14,2020-07-01
350,2020,3,Neuquén,31.46,2020-07-01
351,2020,3,Río Negro,21.08,2020-07-01
352,2020,3,Salta,25.26,2020-07-01
353,2020,3,San Juan,6.03,2020-07-01
354,2020,3,San Luis,20.85,2020-07-01
355,2020,3,Santa Cruz,6.65,2020-07-01
356,2020,3,Santa Fe,25.69,2020-07-01
357,2020,3,Santiago Del Estero,10.88,2020-07-01
358,2020,3,Tierra Del Fuego,8.51,2020-07-01
359,2020,3,Tucumán,34.84,2020-07-01
360,2020,2,Buenos Aires,45.66,2020-04-01
361,2020,2,Capital Federal,60.48,2020-04-01
362,2020,2,Catamarca,34.93,2020-04-01
363,2020,2,Chaco,27.95,2020-04-01
364,2020,2,Chubut,7.61,2020-04-01
365,2020,2,Córdoba,30.99,2020-04-01
366,2020,2,Corrientes,22.15,2020-04-01
367,2020,2,Entre Ríos,20.45,2020-04-01
368,2020,2,Formosa,16.87,2020-04-01
369,2020,2,Jujuy,15.86,2020-04-01
370,2020,2,La Pampa,8.03,2020-04-01
371,2020,2,La Rioja,11.67,2020-04-01
372,2020,2,Mendoza,9.27,2020-04-01
373,2020,2,Misiones,22.56,2020-04-01
374,2020,2,Neuquén,29.1,2020-04-01
375,2020,2,Río Negro,19.68,2020-04-01
376,2020,2,Salta,22.56,2020-04-01
377,2020,2,San Juan,6.31,2020-04-01
378,2020,2,San Luis,21.02,2020-04-01
379,2020,2,Santa Cruz,6.59,2020-04-01
380,2020,2,Santa Fe,23.93,2020-04-01
381,2020,2,Santiago Del Estero,10.41,2020-04-01
382,2020,2,Tierra Del Fuego,8.13,2020-04-01
383,2020,2,Tucumán,32.7,2020-04-01
384,2020,1,Buenos Aires,45.18,2020-01-01
385,2020,1,Capital Federal,58.71,2020-01-01
386,2020,1,Catamarca,29.13,2020-01-01
387,2020,1,Chaco,25.94,2020-01-01
388,2020,1,Chubut,7.12,2020-01-01
389,2020,1,Córdoba,29.39,2020-01-01
390,2020,1,Corrientes,20.54,2020-01-01
