,Año,Trimestre,Provincia,Tecnologia,Accesos,Fecha
428,2019,4,Santa Fe,Adsl,312072.0,2019-10-01
429,2019,4,Santiago Del Estero,Adsl,24682.0,2019-10-01
430,2019,4,Tierra Del Fuego,Adsl,13261.0,2019-10-01
431,2019,4,Tucumán,Adsl,146985.0,2019-10-01
433,2019,3,Capital Federal,Adsl,300288.0,2019-07-01
434,2019,3,Catamarca,Adsl,24349.0,2019-07-01
435,2019,3,Chaco,Adsl,50416.0,2019-07-01
436,2019,3,Chubut,Adsl,37298.0,2019-07-01
437,2019,3,Córdoba,Adsl,307780.0,2019-07-01
438,2019,3,Corrientes,Adsl,53344.0,2019-07-01
439,2019,3,Entre Ríos,Adsl,94947.0,2019-07-01
440,2019,3,Formosa,Adsl,21777.0,2019-07-01
441,2019,3,Jujuy,Adsl,33110.0,2019-07-01
442,2019,3,La Pampa,Adsl,19469.0,2019-07-01
443,2019,3,La Rioja,Adsl,14390.0,2019-07-01
444,2019,3,Mendoza,Adsl,148640.0,2019-07-01
445,2019,3,Misiones,Adsl,54493.0,2019-07-01
446,2019,3,Neuquén,Adsl,43347.0,2019-07-01
447,2019,3,Río Negro,Adsl,67478.0,2019-07-01
448,2019,3,Salta,Adsl,65799.0,2019-07-01
449,2019,3,San Juan,Adsl,51670.0,2019-07-01
450,2019,3,San Luis,Adsl,13037.0,2019-07-01
451,2019,3,Santa Cruz,Adsl,10663.0,2019-07-01
452,2019,3,Santa Fe,Adsl,319396.0,2019-07-01
